PAGE #,Item #,Description ,List Price ,Comments 
53,439012,"C-CLAMP, 12"" W/DBL JR. RECEIVER", $	160.00 ,
54,429606,"CLAMP,FURN,HD,48''W/ BAR CLAMP ADAPTER", $	107.00 ,
54,429605,"CLAMP,FURN,HD,36''W/ BAR CLAMP ADAPTER", $	59.00 ,
54,429593,"CLAMP,FURN,HD,24''W/ BAR CLAMP ADAPTER", $	49.00 ,
54,429592,"CLAMP,FURN,HD,18''W/ BAR CLAMP ADAPTER", $	49.00 ,
54,429584,"CLAMP,FURN,HD,12''W/ BAR CLAMP ADAPTER", $	38.00 ,
54,429589,"CLAMP,FURN,HD,6''W/ BAR CLAMP ADAPTER", $	38.00 ,
54,429595,BAR CLAMP ADAPTER, $	30.00 ,
54,429036,HEAVY DUTY BAR CLAMP ADAPTER, $	41.00 ,
54,429733,"CLAMP,SCISSOR 1/2'' W/CABLE HOLDER", $	18.00 ,
54,429678,"CLAMP,SCISSOR 5/8"" W/CABLE HOLDER", $	20.00 ,
54,429066,"PUTTY KNIFE W/5/8"" PIN", $	28.00 ,
55,209644,BABY 2Fer (TRIPLE), $	27.00 ,
55,209645,BABY 3Fer (QUAD), $	32.00 ,
55,429702,ADAPT FEMALE\ BABY>M17, $	30.00 ,
55,429232,"ADAPTER,BABY PIN RIGHT ANGLE", $	46.00 ,
55,429241,"CHEATER ADAPT,3.5''", $	41.00 ,
55,429301,"ADAPT,JR-V/BABY-V", $	44.00 ,
55,429701,"ADAPT,BABY, FEMALE-FEMALE ", $	34.00 ,
55,429492,TVMP ADAPTER, $	19.00 ,
56,429029,"STD ADAPT,JRM-BABYM,1-1/8-5/8", $	30.00 ,
56,429599,6.'' PIN W/COLLAR, $	16.00 ,
56,429042,QUACKER CLAMP, $	111.00 ,
56,209494,"HOLDER,CANTRELL", $	59.00 ,
56,209495,"HOLDER,FOAM CORE", $	64.00 ,
56,B427080,"M/POLE,MAXI,99'' - 187'' BLACK", $	183.00 ,
56,B427082,M/POLE/MED 53''-97.5'' BLACK, $	130.00 ,
56,B427083,"M/POLE,MINI,30-53'',BLACK", $	121.00 ,
57,540001,HOLLY'WOOD SUPERFLEX ARM, $	130.00 ,Not listed in the catalog
57,540023,"ADAPT,SCRIM,.75D,@3''", $	30.00 ,
57,540024,KNUCKLE HEAD, $	46.00 ,
57,429020,"BRACKET,POULTRY", $	199.00 ,
57,529604,"12K EXT,TT-BRKT,SET(3) KIT", $	703.00 ,
57,429611,CONDOR BRACKET, $	702.00 ,
57,511661,CANDLE STICK ASSY, $	67.00 ,
58,429583,"BRACKET,SET WALL", $	40.00 ,
58,429648,"BRACKET, BAILIN", $	57.00 ,
58,429016,"WALL SPREADER,2X4", $	136.00 ,Price of $70.00 in the catalog is incorrect 
58,429017,"WALL SPREADER,2X6", $	136.00 ,Price of $70.00 in the catalog is incorrect 
58,429025,PIPE WALL SPREADER KIT, $	184.00 ,Price of $230.00 in the catalog is incorrect
58,429621,RECEIVER MOUNTING PLATE, $	44.00 ,
58,424806,BABY SWIVEL PLATE, $	70.00 ,
58,429582,JR WALL PLATE, $	41.00 ,
59,429624,"HANGER,CROWDER", $	65.00 ,
59,429625,"HANGER,CROWDR ADAPT", $	38.00 ,
59,429041,"BABY PLATE,3''", $	22.00 ,
59,429085,"BABY PLATE,6""", $	22.00 ,
59,429065,"BABY PLATE,12""", $	26.00 ,
59,429590,"BABY PLATE, RIGHT ANGLE", $	30.00 ,
59,429141,"BABY PLATE,  CHEATER ", $	26.00 ,Part #429590 in catalog is incorrect
60,999005,"SURVIVAL KIT,MOUNTING"," $	2,440.00 ",
60,350620,UNIVERSAL TABLET MOUNT W/PIN, $	83.00 ,
60,861832,LAP TOP TRAY KIT, $	146.00 ,
61,B119739,K-STACKER II, $	219.00 ,Part #B119737 in the catalog is incorrect 
61,861862,MATTHEWS MONITOR BRACKET, $	208.00 ,
61,861863,"MONITOR ADAPTER PLATE, 200MM", $	55.00 ,
62,350627,NOGA ARM LARGE, $	188.00 ,
62,350626,NOGA ARM, $	178.00 ,Price of $55.00 in the catalog is incorrect
62,20027-10,"MICROPIN 1/4-20 TO 5/8""", $	14.00 ,
62,350634,DOVE TAIL MOUNT W/PLATE, $	53.00 ,
62,861833,LAP TOP TRAY FEMALE ADAPTER, $	35.00 ,
62,429489,ADAPTER KIT, $	61.00 ,
62,350623,"ADAPTER,1/4-20MALE - 5/8FEMALE", $	35.00 ,Price of $13.00 in the catalog is incorrect 
62,415173,BALL HEAD ADAPTER 5/8 FEMALE, $	42.00 ,
62,350625,"ADAPTER,1/4-20 - 5/8FEMALE N/S", $	15.00 ,
63,350604,MICRO-GRIP HEAD , $	44.00 ,
63,350605,MICRO-GRIP SHOT BAG, $	22.00 ,
63,350602-1,MICRO-GRIP BASE, $	43.00 ,
63,350635,ADPTR COUPL HEX 3/8TO3/8, $	7.00 ,
63,350602-4,"MICRO-GRIP ROD 20"" 1/4-20 FEMALE THREAD ", $	14.00 ,
63,350602-3,"MICRO-GRIP ROD 12"" 1/4-20 FEMALE THREAD ", $	12.00 ,
63,350602-2,"MICRO-GRIP ROD 8"" 1/4-20 FEMALE THREAD ", $	10.00 ,
63,350602-6,"MICRO-GRIP ROD 6"" 1/4-20 FEMALE THREAD ", $	9.00 ,
63,350602-5,"MICRO-GRIP ROD 4"" 1/4-20 FEMALE THREAD ", $	8.00 ,
63,350602-7,"MICROGRIP ROD 20"" W/3/8-16 MALE THREAD", $	17.00 ,
63,350602-8,"MICROGRIP ROD 12"" W/3/8-16 MALE THREAD", $	15.00 ,
63,350602-9,"MICROGRIP ROD 8"" W/3/8-16 MALE THREAD", $	13.00 ,
63,350602-10,"MICROGRIP ROD 6"" W/3/8-16 MALE THREAD", $	12.00 ,
63,350602-11,"MICROGRIP ROD 4"" W/3/8-16 MALE THREAD", $	10.00 ,
63,350606,MICRO-GRIP CLIP ARMS, $	17.00 ,
63,M219083,"MICROGRIP DOT SOLID 3""", $	28.00 ,
63,M219093,"MICROGRIP DOT ARTIFICIAL SILK  3""", $	28.00 ,
63,M219063,"MICROGRIP DOT SINGLE 3""", $	28.00 ,
63,M219073,"MICROGRIP DOT DOUBLE 3""", $	28.00 ,
63,M229114,"MICROGRIP SOLID 2"" X 4""", $	31.00 ,
63,M229113,"MICROGRIP ARTIFICIAL SILK 2"" X 4""", $	31.00 ,
63,M229111,"MICROGRIP SINGLE 2"" X 4""", $	31.00 ,
63,M229112,"MICROGRIP DOUBLE 2"" X 4""", $	31.00 ,
64,350617,MICRO CLAMP, $	30.00 ,
64,350610,MICRO-GRIP 1/4-20 ADAPTER, $	22.00 ,
64,350614,HOT SHOE ADAPTER 3/8'' to1/4'', $	32.00 ,
64,350619,MICRO-GRIP MONITOR MOUNT KIT, $	131.00 ,
65,350612,MICRO-GRIP MASTER KIT, $	495.00 ,
65,350611,MICRO-GRIP BASIC KIT , $	172.00 ,
65,350613,MICRO-GRIP MOUNT ACCESSORY KIT, $	153.00 ,
67,B377701,MINI MAX," $	1,413.00 ",
68,B377700,MAX MENACE ARM," $	6,763.00 ","Maximum  allowable discount 35%, the crate 732123 is required when ordering this item "
,732123,MAX CRATE, $	317.00 ,No allowable discount on this item.  Required when ordering #B377700 
70,B377700-7,MAX 720 PIPE ADAPTER, $	781.00 ,Maximum  allowable discount 35%
70,B377700-6,MENACE 6' BABY EXTENSION ASSY, $	521.00 ,Maximum  allowable discount 35%
70,B377709,"SPEED MENACE KIT F/ 1-1/4"" PIPE", $	152.00 ,
70,B377710,"SPEED MENACE KIT F/ 1-1/2"" PIPE", $	152.00 ,
71,299886,"BAG,BABY BOA,5#,CORDURA,BLACK", $	41.00 ,
71,299887,"BAG,JUNIOR BOA,10#,CORDURA,BLACK", $	55.00 ,
71,299888,"BAG,SENIOR BOA,15#,CORDURA,BLACK", $	72.00 ,
71,427803,"BOOM,JR MATTH", $	459.00 ,
71,427801,"BOOM,BABY MATTH", $	293.00 ,
71,427802,"BOOM,MINI MATTH", $	209.00 ,
71,B427802,"BOOM,MINI MATTH, BLACK ", $	209.00 ,
71,427804,"DROP DOWN,BABY,5/8", $	61.00 ,
71,427805,"DROP DOWN,JR,1-1/8''", $	114.00 ,
71,429688,ANGLE DROP DOWN 45 DEGREE, $	71.00 ,
71,388211,"GOBO ARM,W/MAGIC FINGER", $	140.00 ,
71,680011,BROKEN ARM ALM, $	235.00 ,
72,429752,"ARM,SIDE,BABY,HEAVY DUTY", $	121.00 ,
72,429751,"ARM, SIDE JUNIOR, HEAVY DUTY", $	125.00 ,
72,429850,"FLAG CLAMP, HEAVY DUTY", $	168.00 ,
72,430126,"H'WOOD,EXT OFF-ARM,BABY", $	130.00 ,
