Item Number	Item Name	Buy	Sell	Inventory	Asset Acct	Income Acct	Expense/COS Acct	Item Picture	Description	Use Desc. On Sale	Custom List 1	Custom List 2	Custom List 3	Custom Field 1	Custom Field 2	Custom Field 3	Primary Vendor	Vendor Item Number	Tax When Bought	Buy Unit Measure	# Items/Buy Unit	Reorder Quantity	Minimum Level	Selling Price	Sell Unit Measure	Tax When Sold	# Items/Sell Unit	Quantity Break 1	Quantity Break 2	Quantity Break 3	Quantity Break 4	Quantity Break 5	Price Level A, Qty Break 1	Price Level B, Qty Break 1	Price Level C, Qty Break 1	Price Level D, Qty Break 1	Price Level E, Qty Break 1	Price Level F, Qty Break 1	Price Level A, Qty Break 2	Price Level B, Qty Break 2	Price Level C, Qty Break 2	Price Level D, Qty Break 2	Price Level E, Qty Break 2	Price Level F, Qty Break 2	Price Level A, Qty Break 3	Price Level B, Qty Break 3	Price Level C, Qty Break 3	Price Level D, Qty Break 3	Price Level E, Qty Break 3	Price Level F, Qty Break 3	Price Level A, Qty Break 4	Price Level B, Qty Break 4	Price Level C, Qty Break 4	Price Level D, Qty Break 4	Price Level E, Qty Break 4	Price Level F, Qty Break 4	Price Level A, Qty Break 5	Price Level B, Qty Break 5	Price Level C, Qty Break 5	Price Level D, Qty Break 5	Price Level E, Qty Break 5	Price Level F, Qty Break 5	Inactive Item	Standard Cost	Default Ship/Sell Location	Default Recvd/Auto Location	Brand	Weight	Unit of Weight	Web Description	Sold in Web Store	Web Store Price	Item Record ID	Track Serial Number	Warranty Applies when Sold	Warranty Period	Unit of Warranty Period	Kit Item
Gel L113/S Magenta	Lee 113 Magenta Sheet	B	S			45250	55250										Lee Filters	113S		Sheet	1	0		$9.00	Sheet	T	1	0	0	0	0	0	9	9	9	9	9	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	$4.00				0	Pound		N	9.00	11137	N	N	0	days	
Gel L116/S Inv	Lee 116 Medium Blue-Green Sheet	B	S	I	15105	45250	55250	Gel L116.jpg									Lee Filters	116S		Sheet	1	4	2	$9.00	Sheet	T	1	0	0	0	0	0	9	9	9	9	9	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	$3.75			Lee	2	Ounce	A pleasing effect for theatrical lighting.	N	9.00	4903	N	N	0	days	
Gel L117/R	Lee 117 Steel Blue Roll	B	S			45250	55250	Gel L117.jpg									Lee Filters	117/R		Roll	1	0		$120.00	Roll	T	1	0	0	0	0	0	120	105	105	105	105	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	$78.00			Lee	3	Pound	Good for cool washes. Adds a pale green tint. Great for emulating icy weather on stage.	N	105.00	4731	N	N	0	days	
Gel L117/S (X)	(X) Lee 117 Steel Blue	B	S			45250	55250	Gel L117.jpg									Lee Filters	117s		Sheet	1	0		$9.00	Sheet	T	1	0	0	0	0	0	9	8.5	8.5	8.5	8.5	8.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	$3.75			Lee	2	Ounce	Good for cool washes. Adds a pale green tint. Great for emulating icy weather on stage.	N	8.50	4902	N	N	0	days	
Gel L117/S Inv	Lee 117 Steel Blue Sheet	B	S	I	15105	45250	55250	Gel L117.jpg									Lee Filters	117S		Sheet	1	4	2	$9.00	Sheet	T	1	0	0	0	0	0	9	9	9	9	9	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	$4.00			Lee	2	Ounce		N	9.00	11276	N	N	0	days	
Gel L121/S (X)	(X) Lee 121 Lee Green Sheet	B	S			45250	55250	Gel L121.jpg									Lee Filters	121S		Sheet	1	0		$9.00	Sheet	T	1	0	0	0	0	0	9	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	$4.00			Lee	2	Ounce	Good for dense foliage, tropical jungle or woodland effect.	N	9.00	4414	N	N	0	days	
Gel L121/S Inv	Lee 121 Lee Green Sheet	B	S	I	15105	45250	55250	Gel L121.jpg									Lee Filters	121S		Sheet	1	4	2	$9.00	Sheet	T	1	0	0	0	0	0	9	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	$4.00			Lee	2	Ounce	Good for dense foliage, tropical jungle or woodland effect.	N	9.00	11279	N	N	0	days	
Gel L122/R	Lee 122 Fern Green	B	S			45250	55250	Gel L122.jpg									Lee Filters	122/1		Roll	1	0		$120.00	Roll	T	1	0	0	0	0	0	120	105	105	105	105	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	$0.00			Lee	0.128	Pound	Good for cycloramas and creates a great mood effect.	N	105.00	5594	N	N	0	days	
Gel L124/S (X)	(X) Lee 124 Dark Green	B	S			45250	55250	Gel L124.jpg									Lee Filters	124s		Sheet	1	0		$9.00	Sheet	T	1	0	0	0	0	0	9	8.5	8.5	8.5	8.5	8.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	$3.75			Lee	2	Ounce	Good for cycloramas and backlighting.	N	8.50	4901	N	N	0	days	
Gel L124/S Inv	Lee 124 Dark Green Sheet	B	S	I	15105	45250	55250	Gel L124.jpg									Lee Filters	124S		Sheet	1	4	2	$9.00	Sheet	T	1	0	0	0	0	0	9	9	9	9	9	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	$3.75			Lee	2	Ounce	Good for cycloramas and backlighting.	N	9.00	11281	N	N	0	days	
